	Element	Relevance	cycle	Pathway	pathway name	gene	gene_name	key_gene	energyRole	biogeoSubstrate	Metal	KO	References					Legenda	Legenda
211	Nitrogen	Biogeochemistry	Nitrogen	Nitrification	Nitrification, nitrite -> nitrate (nxrAB)	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	yes	D	Nitrite	Mo	K00370							
212	Nitrogen	Biogeochemistry	Nitrogen	Nitrification	Nitrification, nitrite -> nitrate (nxrAB)	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	yes	D	Nitrite	Mo	K00371							
213	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Oxidation of pyruvate coupled to oxidation of oxygen	poxL	pyruvate oxidase [EC:1.2.3.3]	yes	A	Lactate	Mg	K00158							
215	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, cbb3-type	ccoN	cytochrome c oxidase cbb3-type subunit I	yes	A	Oxygen	Cu	K00404							
216	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, cbb3-type	ccoO	cytochrome c oxidase cbb3-type subunit II	yes	A	Oxygen	Cu	K00405							
217	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, cbb3-type	ccoP	cytochrome c oxidase cbb3-type subunit III	yes	A	Oxygen	Cu	K00406							
218	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, cbb3-type	ccoQ	cytochrome c oxidase cbb3-type subunit IV	yes	A	Oxygen	Cu	K00407							
219	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	fbcH	ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	yes	A	Oxygen	Fe	K00410							
220	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	UQCRFS1, RIP1, petA	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	yes	A	Oxygen	Fe	K00411	https://www.uniprot.org/uniprotkb/P05417/entry						
221	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	CYTB, petB	ubiquinol-cytochrome c reductase cytochrome b subunit	yes	A	Oxygen	Fe	K00412							
222	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	CYC1, CYT1, petC	ubiquinol-cytochrome c reductase cytochrome c1 subunit	yes	A	Oxygen	//	K00413							
223	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	QCR1, UQCRC1	ubiquinol-cytochrome c reductase core subunit 1	yes	A	Oxygen	//	K00414							
224	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	QCR2, UQCRC2	ubiquinol-cytochrome c reductase core subunit 2	yes	A	Oxygen	//	K00415							
225	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	QCR6, UQCRH	ubiquinol-cytochrome c reductase subunit 6	yes	A	Oxygen	//	K00416							
226	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	QCR7, UQCRB	ubiquinol-cytochrome c reductase subunit 7	yes	A	Oxygen	//	K00417							
227	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bc1 complex	QCR8, UQCRQ	ubiquinol-cytochrome c reductase subunit 8	yes	A	Oxygen	//	K00418							
230	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bd ubiquinol oxidase	cydX	cytochrome bd-I ubiquinol oxidase subunit X	yes	A	Oxygen	//	K00424	https://pubmed.ncbi.nlm.nih.gov/24681096/						
231	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bd ubiquinol oxidase	cydA	cytochrome bd ubiquinol oxidase subunit I	yes	A	Oxygen	Fe	K00425							
232	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome bd ubiquinol oxidase	cydB	cytochrome bd ubiquinol oxidase subunit II	yes	A	Oxygen	Fe	K00426							
233	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Oxygen metabolism - cytochrome (quinone) oxidase, bo type	cyoE	heme o synthase [EC:2.5.1.141]	yes	A	Oxygen	Fe	K02257	https://pubmed.ncbi.nlm.nih.gov/1336371/						
234	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, prokaryotes	coxA, ctaD	cytochrome c oxidase subunit I [EC:1.9.3.1]	yes	A	Oxygen	Cu	K02274							
235	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, prokaryotes	coxB, ctaC	cytochrome c oxidase subunit II [EC:1.9.3.1]	yes	A	Oxygen	Cu	K02275							
236	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, prokaryotes	coxC, ctaE	cytochrome c oxidase subunit III [EC:1.9.3.1]	yes	A	Oxygen	Cu	K02276							
237	Oxygen	Biogeochemistry	Oxygen respiration	Oxygen respiration	Cytochrome c oxidase, prokaryotes	coxD, ctaF	cytochrome c oxidase subunit IV [EC:1.9.3.1] (non-essential)	yes	A	Oxygen	Cu	K02277							
